feature                                     charge   composition   flexibility      geometry   hydrophobic          meta    observable         polar    sec_struct
aaindex_pca_1                          4.75058e-04   9.33009e-02   2.93093e-02   1.20485e-01   2.75574e-01   2.59510e-02   2.92479e-02   4.95977e-02   3.76060e-01
aaindex_pca_2                          2.68766e-03   1.08195e-01   1.44611e-02   1.53752e-01   2.07898e-01   8.90888e-02   2.61000e-02   4.46184e-02   3.53199e-01
aaindex_pca_3                          2.62013e-03   1.71628e-01   1.33706e-02   1.04079e-01   1.17157e-01   7.80961e-02   3.91941e-02   3.90026e-02   4.34852e-01
aaindex_pca_4                          1.61205e-03   1.01404e-01   1.97765e-02   1.12734e-01   1.73200e-01   4.92728e-02   3.95363e-02   4.75861e-02   4.54879e-01
aaindex_pca_5                          6.21845e-03   1.07754e-01   1.28805e-02   9.93102e-02   1.72432e-01   6.25383e-02   4.28355e-02   5.60277e-02   4.40003e-01
aaindex_pca_6                          6.90752e-03   6.97574e-02   1.95692e-02   1.20290e-01   1.63315e-01   6.80285e-02   3.99550e-02   8.03394e-02   4.31839e-01
aaindex_pca_7                          1.16015e-02   8.78421e-02   1.33235e-02   1.14420e-01   1.51613e-01   6.43653e-02   4.07871e-02   8.44660e-02   4.31581e-01
aaindex_pca_8                          1.81475e-03   1.15438e-01   1.87979e-02   9.93160e-02   1.88624e-01   4.51843e-02   5.34707e-02   4.99011e-02   4.27453e-01
aaindex_pca_9                          5.69218e-03   7.92593e-02   1.80561e-02   9.59675e-02   2.12411e-01   6.05289e-02   3.01819e-02   5.56047e-02   4.42299e-01
aaindex_pca_10                         7.83495e-03   1.00600e-01   2.03718e-02   1.13185e-01   1.95666e-01   5.06132e-02   4.29972e-02   5.22552e-02   4.16476e-01
aaindex_pca_11                         8.00740e-03   1.43464e-01   2.51745e-02   1.03776e-01   1.65702e-01   3.78949e-02   5.32375e-02   4.72481e-02   4.15496e-01
aaindex_pca_12                         2.73889e-04   8.54091e-02   2.54805e-02   1.01154e-01   1.70303e-01   6.81160e-02   3.39243e-02   6.91481e-02   4.46191e-01
aaindex_pca_13                         5.54513e-03   7.84201e-02   1.71199e-02   1.24682e-01   1.88033e-01   6.34888e-02   3.49049e-02   3.36608e-02   4.54145e-01
aaindex_pca_14                         2.56699e-03   8.16463e-02   2.10817e-02   9.61181e-02   2.06616e-01   4.78682e-02   3.89182e-02   5.10569e-02   4.54128e-01
aaindex_pca_15                         3.94513e-03   9.72421e-02   2.84437e-02   8.94057e-02   1.82053e-01   4.88629e-02   3.20400e-02   6.65472e-02   4.51460e-01
aaindex_pca_16                         7.67169e-03   1.22774e-01   2.66334e-02   1.14521e-01   1.79009e-01   6.39393e-02   4.64270e-02   4.09848e-02   3.98039e-01
aaindex_pca_17                         9.65889e-04   1.08880e-01   1.64435e-02   1.05725e-01   1.56510e-01   6.82732e-02   3.62434e-02   4.78397e-02   4.59119e-01
aaindex_pca_18                         1.77414e-03   1.14110e-01   2.34405e-02   1.07764e-01   1.60820e-01   7.34901e-02   2.59417e-02   5.48697e-02   4.37789e-01
aaindex_pca_19                         1.43588e-03   9.90677e-02   2.01942e-02   9.70649e-02   1.69613e-01   8.16025e-02   3.23828e-02   4.42496e-02   4.54389e-01
aaindex_pca_20                         7.02327e-03   8.25673e-02   9.35289e-02   1.49356e-01   1.24742e-01   5.28169e-02   4.62202e-02   6.53572e-02   3.78389e-01
asa_sidechain_polar                    0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00
num_acceptors                          0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00
num_donors                             0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00
charge                                 0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00
cider_kappa                            0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00
cider_isoelectric_point                0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00
cider_delta                            0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00
cider_charge_at_pH9                    0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00
cider_charge_at_pH4                    0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.00000e+00   0.00000e+00
